sample,time,code,chan
41316,20.173828125,63.0,-1.0
45425,22.18017578125,34.0,-1.0
46482,22.6962890625,42.0,-1.0
46529,22.71923828125,131.0,0.0
46608,22.7578125,131.0,2.0
46738,22.8212890625,132.0,0.0
47117,23.00634765625,131.0,0.0
47233,23.06298828125,132.0,0.0
47530,23.2080078125,131.0,0.0
47736,23.30859375,98.0,-1.0
48032,23.453125,133.0,2.0
48176,23.5234375,132.0,0.0
49549,24.19384765625,132.0,2.0
52661,25.71337890625,34.0,-1.0
53718,26.2294921875,35.0,-1.0
54034,26.3837890625,131.0,0.0
54218,26.4736328125,132.0,0.0
54507,26.61474609375,131.0,1.0
54586,26.6533203125,131.0,0.0
54644,26.681640625,131.0,3.0
54669,26.69384765625,132.0,0.0
54690,26.7041015625,162.0,-1.0
54869,26.79150390625,132.0,1.0
54950,26.8310546875,133.0,3.0
55325,27.01416015625,132.0,3.0
59624,29.11328125,34.0,-1.0
60681,29.62939453125,38.0,-1.0
61378,29.9697265625,131.0,1.0
61471,30.01513671875,131.0,3.0
61524,30.041015625,162.0,-1.0
61775,30.16357421875,133.0,3.0
61883,30.21630859375,132.0,1.0
63017,30.77001953125,132.0,3.0
66450,32.4462890625,34.0,-1.0
67507,32.96240234375,50.0,-1.0
68198,33.2998046875,131.0,0.0
68240,33.3203125,132.0,0.0
68254,33.3271484375,133.0,3.0
68254,33.3271484375,131.0,3.0
68288,33.34375,131.0,2.0
68305,33.35205078125,131.0,0.0
68431,33.41357421875,98.0,-1.0
68595,33.49365234375,132.0,0.0
68672,33.53125,133.0,2.0
68794,33.5908203125,132.0,3.0
69174,33.7763671875,132.0,2.0
73379,35.82958984375,34.0,-1.0
74436,36.345703125,35.0,-1.0
75046,36.6435546875,131.0,1.0
75114,36.6767578125,131.0,0.0
75123,36.68115234375,131.0,3.0
75185,36.71142578125,162.0,-1.0
75191,36.71435546875,132.0,0.0
75375,36.80419921875,132.0,1.0
75426,36.8291015625,133.0,3.0
75895,37.05810546875,132.0,3.0
80138,39.1298828125,34.0,-1.0
81195,39.64599609375,50.0,-1.0
81807,39.94482421875,131.0,0.0
81927,40.00341796875,131.0,2.0
81995,40.03662109375,132.0,0.0
82021,40.04931640625,131.0,0.0
82082,40.0791015625,98.0,-1.0
82095,40.08544921875,132.0,0.0
82258,40.1650390625,133.0,2.0
82702,40.3818359375,132.0,2.0
87032,42.49609375,34.0,-1.0
88089,43.01220703125,38.0,-1.0
88780,43.349609375,131.0,1.0
88867,43.39208984375,131.0,2.0
88898,43.4072265625,131.0,3.0
88961,43.43798828125,162.0,-1.0
89099,43.50537109375,132.0,1.0
89184,43.546875,133.0,3.0
89374,43.6396484375,133.0,2.0
89392,43.6484375,132.0,2.0
89505,43.70361328125,132.0,3.0
93893,45.84619140625,34.0,-1.0
94950,46.3623046875,38.0,-1.0
95523,46.64208984375,131.0,1.0
95628,46.693359375,131.0,2.0
95632,46.6953125,131.0,3.0
95684,46.720703125,162.0,-1.0
95819,46.78662109375,132.0,1.0
95896,46.82421875,133.0,3.0
96085,46.91650390625,133.0,2.0
96112,46.9296875,132.0,2.0
96279,47.01123046875,132.0,3.0
100617,49.12939453125,34.0,-1.0
101674,49.6455078125,42.0,-1.0
102203,49.90380859375,131.0,0.0
102263,49.93310546875,132.0,0.0
102311,49.95654296875,131.0,2.0
102323,49.96240234375,131.0,0.0
102405,50.00244140625,131.0,3.0
102493,50.04541015625,132.0,0.0
102512,50.0546875,98.0,-1.0
102607,50.10107421875,133.0,3.0
102646,50.1201171875,132.0,3.0
102660,50.126953125,133.0,2.0
103307,50.44287109375,132.0,2.0
107444,52.462890625,34.0,-1.0
108501,52.97900390625,50.0,-1.0
109024,53.234375,131.0,0.0
109147,53.29443359375,131.0,2.0
109173,53.30712890625,132.0,0.0
109203,53.32177734375,131.0,0.0
109228,53.333984375,131.0,3.0
109296,53.3671875,98.0,-1.0
109330,53.3837890625,133.0,3.0
109347,53.39208984375,132.0,0.0
109380,53.408203125,132.0,3.0
109495,53.46435546875,133.0,2.0
109980,53.701171875,132.0,2.0
114236,55.779296875,34.0,-1.0
115293,56.29541015625,38.0,-1.0
115850,56.5673828125,131.0,1.0
115967,56.62451171875,131.0,3.0
116003,56.64208984375,162.0,-1.0
116174,56.7255859375,132.0,1.0
116214,56.7451171875,133.0,3.0
116652,56.958984375,132.0,3.0
120926,59.0458984375,34.0,-1.0
121983,59.56201171875,35.0,-1.0
122564,59.845703125,131.0,1.0
122663,59.89404296875,131.0,3.0
122725,59.92431640625,162.0,-1.0
122952,60.03515625,132.0,1.0
122979,60.04833984375,133.0,3.0
125054,61.0615234375,132.0,3.0
127650,62.3291015625,34.0,-1.0
128707,62.84521484375,42.0,-1.0
129310,63.1396484375,131.0,0.0
129379,63.17333984375,131.0,2.0
129441,63.20361328125,133.0,3.0
129441,63.20361328125,131.0,3.0
129511,63.23779296875,98.0,-1.0
129516,63.240234375,132.0,3.0
129695,63.32763671875,132.0,0.0
129776,63.3671875,133.0,2.0
130506,63.7236328125,132.0,2.0
134443,65.64599609375,34.0,-1.0
135500,66.162109375,50.0,-1.0
136139,66.47412109375,131.0,0.0
136255,66.53076171875,131.0,2.0
136267,66.53662109375,133.0,3.0
136267,66.53662109375,131.0,3.0
136407,66.60498046875,98.0,-1.0
136526,66.6630859375,132.0,0.0
136643,66.72021484375,133.0,2.0
136723,66.75927734375,132.0,3.0
137414,67.0966796875,132.0,2.0
141338,69.0126953125,34.0,-1.0
142395,69.52880859375,50.0,-1.0
143016,69.83203125,131.0,0.0
143082,69.8642578125,131.0,2.0
143245,69.94384765625,98.0,-1.0
143365,70.00244140625,132.0,0.0
143461,70.04931640625,133.0,2.0
143933,70.27978515625,132.0,2.0
148198,72.3623046875,34.0,-1.0
149255,72.87841796875,35.0,-1.0
149845,73.16650390625,131.0,1.0
149904,73.1953125,131.0,3.0
149957,73.22119140625,162.0,-1.0
150445,73.45947265625,133.0,3.0
150457,73.46533203125,132.0,1.0
152229,74.33056640625,132.0,3.0
154888,75.62890625,34.0,-1.0
155945,76.14501953125,38.0,-1.0
156445,76.38916015625,131.0,3.0
156582,76.4560546875,131.0,1.0
156670,76.4990234375,162.0,-1.0
157064,76.69140625,133.0,3.0
157089,76.70361328125,132.0,1.0
158588,77.435546875,132.0,3.0
161612,78.912109375,34.0,-1.0
162670,79.4287109375,42.0,-1.0
162966,79.5732421875,133.0,3.0
162966,79.5732421875,131.0,3.0
163057,79.61767578125,131.0,0.0
163080,79.62890625,132.0,3.0
163181,79.67822265625,132.0,0.0
163217,79.69580078125,131.0,0.0
163247,79.71044921875,131.0,2.0
163363,79.76708984375,98.0,-1.0
163526,79.8466796875,132.0,0.0
163614,79.8896484375,133.0,2.0
164857,80.49658203125,132.0,2.0
168303,82.17919921875,34.0,-1.0
169360,82.6953125,42.0,-1.0
169779,82.89990234375,131.0,0.0
169875,82.94677734375,132.0,0.0
170076,83.044921875,131.0,2.0
170133,83.07275390625,131.0,0.0
170295,83.15185546875,98.0,-1.0
170440,83.22265625,132.0,0.0
170512,83.2578125,133.0,2.0
171168,83.578125,132.0,2.0
175231,85.56201171875,34.0,-1.0
176289,86.07861328125,42.0,-1.0
176609,86.23486328125,131.0,0.0
176736,86.296875,132.0,0.0
176812,86.333984375,131.0,0.0
176829,86.34228515625,131.0,2.0
176980,86.416015625,98.0,-1.0
177125,86.48681640625,132.0,0.0
177230,86.5380859375,133.0,2.0
178487,87.15185546875,132.0,2.0
181921,88.82861328125,34.0,-1.0
182979,89.34521484375,42.0,-1.0
183658,89.6767578125,131.0,2.0
183697,89.69580078125,131.0,0.0
183770,89.7314453125,131.0,3.0
183813,89.75244140625,98.0,-1.0
184084,89.884765625,132.0,0.0
184093,89.88916015625,133.0,2.0
184102,89.8935546875,133.0,3.0
184138,89.9111328125,132.0,3.0
185792,90.71875,132.0,2.0
188748,92.162109375,34.0,-1.0
189805,92.67822265625,42.0,-1.0
190345,92.94189453125,131.0,0.0
190362,92.9501953125,131.0,2.0
190431,92.98388671875,131.0,3.0
190491,93.01318359375,98.0,-1.0
190762,93.1455078125,132.0,0.0
190773,93.15087890625,133.0,2.0
190851,93.18896484375,133.0,3.0
190852,93.189453125,132.0,3.0
191315,93.41552734375,192.0,-1.0
192188,93.841796875,132.0,2.0
195438,95.4287109375,34.0,-1.0
196495,95.94482421875,38.0,-1.0
197122,96.2509765625,131.0,1.0
197187,96.28271484375,131.0,3.0
197210,96.2939453125,162.0,-1.0
197661,96.51416015625,133.0,3.0
197730,96.5478515625,132.0,1.0
198034,96.6962890625,192.0,-1.0
199088,97.2109375,132.0,3.0
202162,98.7119140625,34.0,-1.0
203219,99.22802734375,35.0,-1.0
203757,99.49072265625,131.0,1.0
203841,99.53173828125,131.0,3.0
203878,99.5498046875,162.0,-1.0
204179,99.69677734375,132.0,1.0
204197,99.70556640625,133.0,3.0
204702,99.9521484375,192.0,-1.0
205047,100.12060546875,132.0,3.0
208818,101.9619140625,34.0,-1.0
209875,102.47802734375,42.0,-1.0
210560,102.8125,131.0,0.0
210647,102.85498046875,133.0,3.0
