sample,time,code,chan
1372,0.669921875,20.0,-1.0
1577,0.77001953125,22.0,-1.0
2001,0.97705078125,131.0,0.0
2074,1.0126953125,131.0,1.0
2098,1.0244140625,132.0,1.0
2161,1.05517578125,131.0,1.0
2189,1.06884765625,132.0,0.0
2411,1.17724609375,200.0,-1.0
2584,1.26171875,132.0,1.0
4860,2.373046875,1.0,-1.0
6372,3.111328125,57.0,-1.0
8034,3.9228515625,10.0,-1.0
8237,4.02197265625,12.0,-1.0
8469,4.13525390625,131.0,0.0
8598,4.1982421875,132.0,0.0
8746,4.2705078125,131.0,1.0
8894,4.3427734375,131.0,0.0
8995,4.39208984375,200.0,-1.0
9005,4.39697265625,132.0,0.0
9188,4.486328125,132.0,1.0
10922,5.3330078125,1.0,-1.0
12438,6.0732421875,57.0,-1.0
14098,6.8837890625,20.0,-1.0
14303,6.98388671875,22.0,-1.0
14707,7.18115234375,131.0,0.0
14792,7.22265625,132.0,0.0
14848,7.25,131.0,1.0
15069,7.35791015625,200.0,-1.0
15161,7.40283203125,132.0,1.0
17131,8.36474609375,1.0,-1.0
18647,9.10498046875,57.0,-1.0
20307,9.91552734375,10.0,-1.0
20512,10.015625,11.0,-1.0
20885,10.19775390625,131.0,0.0
21249,10.37548828125,100.0,-1.0
21540,10.517578125,132.0,0.0
23341,11.39697265625,1.0,-1.0
24856,12.13671875,57.0,-1.0
26516,12.947265625,20.0,-1.0
26721,13.04736328125,21.0,-1.0
27149,13.25634765625,131.0,0.0
27477,13.41650390625,100.0,-1.0
27680,13.515625,132.0,0.0
29451,14.38037109375,1.0,-1.0
30963,15.11865234375,57.0,-1.0
32623,15.92919921875,20.0,-1.0
32828,16.029296875,21.0,-1.0
33242,16.2314453125,131.0,1.0
33295,16.25732421875,132.0,1.0
33444,16.330078125,131.0,0.0
33718,16.4638671875,100.0,-1.0
33916,16.560546875,132.0,0.0
35808,17.484375,1.0,-1.0
37316,18.220703125,57.0,-1.0
38976,19.03125,10.0,-1.0
39181,19.13134765625,11.0,-1.0
39476,19.275390625,131.0,0.0
39531,19.30224609375,132.0,0.0
39732,19.400390625,131.0,1.0
39771,19.41943359375,131.0,0.0
39886,19.4755859375,132.0,1.0
40014,19.5380859375,100.0,-1.0
40536,19.79296875,132.0,0.0
42362,20.6845703125,1.0,-1.0
43873,21.42236328125,57.0,-1.0
45533,22.23291015625,10.0,-1.0
45738,22.3330078125,12.0,-1.0
46225,22.57080078125,131.0,0.0
46351,22.63232421875,132.0,0.0
46415,22.66357421875,131.0,1.0
46561,22.73486328125,131.0,0.0
46660,22.783203125,200.0,-1.0
46695,22.80029296875,132.0,0.0
46874,22.8876953125,132.0,1.0
48833,23.84423828125,2.0,-1.0
48853,23.85400390625,255.0,-1.0
65314,31.8916015625,254.0,-1.0
70944,34.640625,57.0,-1.0
72604,35.451171875,10.0,-1.0
72809,35.55126953125,12.0,-1.0
73336,35.80859375,131.0,1.0
73622,35.9482421875,200.0,-1.0
73741,36.00634765625,132.0,1.0
75440,36.8359375,1.0,-1.0
76948,37.572265625,57.0,-1.0
78608,38.3828125,20.0,-1.0
78813,38.48291015625,22.0,-1.0
79275,38.70849609375,131.0,1.0
79530,38.8330078125,200.0,-1.0
79707,38.91943359375,132.0,1.0
81075,39.58740234375,1.0,-1.0
82604,40.333984375,57.0,-1.0
84264,41.14453125,10.0,-1.0
84469,41.24462890625,11.0,-1.0
84930,41.4697265625,131.0,1.0
85022,41.5146484375,132.0,1.0
85112,41.55859375,131.0,0.0
85352,41.67578125,100.0,-1.0
85734,41.8623046875,132.0,0.0
87367,42.65966796875,2.0,-1.0
88875,43.39599609375,57.0,-1.0
90534,44.2060546875,20.0,-1.0
90739,44.30615234375,22.0,-1.0
91073,44.46923828125,131.0,1.0
91120,44.4921875,132.0,1.0
91231,44.54638671875,131.0,0.0
91343,44.60107421875,131.0,1.0
91358,44.6083984375,132.0,0.0
91610,44.7314453125,200.0,-1.0
91766,44.8076171875,132.0,1.0
93904,45.8515625,2.0,-1.0
95412,46.587890625,57.0,-1.0
97071,47.39794921875,10.0,-1.0
97276,47.498046875,11.0,-1.0
97643,47.67724609375,131.0,0.0
97914,47.8095703125,100.0,-1.0
98537,48.11376953125,132.0,0.0
99834,48.7470703125,1.0,-1.0
101354,49.4892578125,57.0,-1.0
103014,50.2998046875,20.0,-1.0
103219,50.39990234375,21.0,-1.0
103522,50.5478515625,131.0,0.0
103637,50.60400390625,132.0,0.0
103732,50.650390625,131.0,0.0
103818,50.6923828125,132.0,0.0
103871,50.71826171875,131.0,0.0
104069,50.81494140625,100.0,-1.0
104180,50.869140625,132.0,0.0
105831,51.67529296875,1.0,-1.0
107359,52.42138671875,57.0,-1.0
109019,53.23193359375,20.0,-1.0
109223,53.33154296875,22.0,-1.0
109650,53.5400390625,131.0,1.0
109757,53.59228515625,132.0,1.0
109854,53.6396484375,131.0,1.0
110086,53.7529296875,200.0,-1.0
110270,53.8427734375,132.0,1.0
112073,54.72314453125,1.0,-1.0
113588,55.462890625,57.0,-1.0
115248,56.2734375,20.0,-1.0
115453,56.37353515625,21.0,-1.0
115955,56.61865234375,131.0,0.0
116168,56.72265625,100.0,-1.0
116606,56.9365234375,132.0,0.0
